N, time mcs
537, 23550
538, 24109
539, 25166
540, 31539
541, 25787
542, 29582
543, 26853
544, 25837
545, 26618
546, 25199
547, 29616
548, 31179
549, 28684
550, 27644
551, 29699
552, 29787
553, 29232
554, 26855
555, 30121
556, 30690
557, 30100
558, 50027
559, 26072
560, 25089
561, 24849
562, 26948
563, 25921
564, 26430
565, 25471
566, 25476
567, 26068
568, 26383
569, 26329
570, 26620
571, 26062
572, 25922
573, 27613
574, 27052
575, 27190
576, 27299
577, 26989
578, 27513
579, 27785
580, 28357
581, 28246
582, 25342
583, 26452
584, 27259
585, 25867
586, 26349
587, 26363
588, 27118
589, 27149
590, 25305
591, 24374
592, 25663
593, 27718
594, 25613
595, 27560
596, 26113
597, 26537
598, 26110
599, 26670
600, 26483
601, 28461
602, 27661
603, 26112
604, 27725
605, 26875
606, 27685
607, 27080
608, 27598
609, 27161
610, 27286
611, 28088
612, 27393
613, 26668
614, 28138
615, 28081
616, 28106
617, 26382
618, 27882
619, 28280
620, 29408
621, 27478
622, 27130
623, 27476
624, 27395
625, 27682
626, 27479
627, 27689
628, 28588
629, 29806
630, 29602
631, 31930
632, 69589
633, 31899
634, 42176
635, 29907
636, 30643
637, 29849
638, 30223
639, 29425
640, 30509
641, 31525
642, 29826
643, 31436
644, 32078
645, 31699
646, 32016
647, 30803
648, 60756
649, 31572
650, 32261
651, 32473
652, 43829
653, 29990
654, 30241
655, 27822
656, 28153
657, 28841
658, 30314
659, 61557
660, 30692
661, 43624
662, 29828
663, 30058
664, 31605
665, 32908
666, 29027
667, 29426
668, 31204
669, 29770
670, 30548
671, 30180
672, 31156
673, 31452
674, 31794
675, 32267
676, 31879
677, 31098
678, 41539
679, 44539
680, 35416
681, 39406
682, 36386
683, 40889
684, 40635
685, 41396
686, 44063
687, 36714
688, 38044
689, 39939
690, 41505
691, 40732
692, 62035
693, 45760
694, 34816
695, 30415
696, 32910
697, 31438
698, 33619
699, 40839
700, 34249
701, 33507
702, 33218
703, 33159
704, 36519
705, 42348
706, 39065
707, 37800
708, 33309
709, 33116
710, 33488
711, 33294
712, 36184
713, 62628
714, 46152
715, 41885
716, 41425
717, 41795
718, 40686
719, 43689
720, 50913
721, 45562
